timestamp,MpKrakBujaka-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-04 14:00:00,13.241,16.7687,20.8552,10.8031
2017-01-04 15:00:00,15.7422,20.5379,17.2467,8.898819999999997
2017-01-04 16:00:00,17.276,17.4634,17.7984,7.794
2017-01-04 17:00:00,16.7687,16.3069,13.7026,16.3357
2017-01-04 18:00:00,20.5379,25.6709,10.8031,12.4337
2017-01-04 19:00:00,17.4634,20.8552,8.898819999999997,13.4907
2017-01-04 20:00:00,16.3069,17.2467,7.794,17.4463
2017-01-04 21:00:00,25.6709,17.7984,16.3357,26.9422
2017-01-04 22:00:00,20.8552,13.7026,12.4337,18.4817
2017-01-04 23:00:00,17.2467,10.8031,13.4907,12.6169
2017-01-05 00:00:00,17.7984,8.898819999999997,17.4463,12.0136
2017-01-05 01:00:00,13.7026,7.794,26.9422,13.4811
2017-01-05 02:00:00,10.8031,16.3357,18.4817,22.9738
2017-01-05 03:00:00,8.898819999999997,12.4337,12.6169,15.0003
2017-01-05 04:00:00,7.794,13.4907,12.0136,22.2938
2017-01-05 05:00:00,16.3357,17.4463,13.4811,29.6901
2017-01-05 06:00:00,12.4337,26.9422,22.9738,29.2533
2017-01-05 07:00:00,13.4907,18.4817,15.0003,28.8922
2017-01-05 08:00:00,17.4463,12.6169,22.2938,31.9611
2017-01-05 09:00:00,26.9422,12.0136,29.6901,25.6623
2017-01-05 10:00:00,18.4817,13.4811,29.2533,23.7044
2017-01-05 11:00:00,12.6169,22.9738,28.8922,18.0824
2017-01-05 12:00:00,12.0136,15.0003,31.9611,17.5804
2017-01-05 13:00:00,13.4811,22.2938,25.6623,16.294
2017-01-05 14:00:00,22.9738,29.6901,23.7044,17.775
2017-01-05 15:00:00,15.0003,29.2533,18.0824,20.1493
2017-01-05 16:00:00,22.2938,28.8922,17.5804,18.3909
2017-01-05 17:00:00,29.6901,31.9611,16.294,12.8993
2017-01-05 18:00:00,29.2533,25.6623,17.775,14.1802
2017-01-05 19:00:00,28.8922,23.7044,20.1493,19.0255
2017-01-05 20:00:00,31.9611,18.0824,18.3909,20.9351
2017-01-05 21:00:00,25.6623,17.5804,12.8993,23.3697
2017-01-05 22:00:00,23.7044,16.294,14.1802,23.1069
2017-01-05 23:00:00,18.0824,17.775,19.0255,23.5894
2017-01-06 00:00:00,17.5804,20.1493,20.9351,30.9869
2017-01-06 01:00:00,16.294,18.3909,23.3697,15.8146
2017-01-06 02:00:00,17.775,12.8993,23.1069,20.6173
2017-01-06 03:00:00,20.1493,14.1802,23.5894,34.0361
2017-01-06 04:00:00,18.3909,19.0255,30.9869,32.2522
2017-01-06 05:00:00,12.8993,20.9351,15.8146,35.579
2017-01-06 06:00:00,14.1802,23.3697,20.6173,41.1493
2017-01-06 07:00:00,19.0255,23.1069,34.0361,39.9274
2017-01-06 08:00:00,20.9351,23.5894,32.2522,46.4165
2017-01-06 09:00:00,23.3697,30.9869,35.579,44.6549
2017-01-06 10:00:00,23.1069,15.8146,41.1493,56.2275
2017-01-06 11:00:00,23.5894,20.6173,39.9274,89.4879
2017-01-06 12:00:00,30.9869,34.0361,46.4165,89.5624
2017-01-06 13:00:00,15.8146,32.2522,44.6549,120.531
2017-01-06 14:00:00,20.6173,35.579,56.2275,122.873
2017-01-06 15:00:00,34.0361,41.1493,89.4879,143.547
2017-01-06 16:00:00,32.2522,39.9274,89.5624,154.082
2017-01-06 17:00:00,35.579,46.4165,120.531,143.94299999999996
2017-01-06 18:00:00,41.1493,44.6549,122.873,153.809
2017-01-06 19:00:00,39.9274,56.2275,143.547,227.267
2017-01-06 20:00:00,46.4165,89.4879,154.082,189.424
2017-01-06 21:00:00,44.6549,89.5624,143.94299999999996,184.439
2017-01-06 22:00:00,56.2275,120.531,153.809,167.68200000000004
2017-01-06 23:00:00,89.4879,122.873,227.267,160.58100000000005
2017-01-07 00:00:00,89.5624,143.547,189.424,93.7513
2017-01-07 01:00:00,120.531,154.082,184.439,75.2014
2017-01-07 02:00:00,122.873,143.94299999999996,167.68200000000004,106.533
2017-01-07 03:00:00,143.547,153.809,160.58100000000005,86.3726
2017-01-07 04:00:00,154.082,227.267,93.7513,88.2602
2017-01-07 05:00:00,143.94299999999996,189.424,75.2014,116.064
2017-01-07 06:00:00,153.809,184.439,106.533,133.21200000000002
2017-01-07 07:00:00,227.267,167.68200000000004,86.3726,172.05900000000003
2017-01-07 08:00:00,189.424,160.58100000000005,88.2602,178.94099999999997
2017-01-07 09:00:00,184.439,93.7513,116.064,226.141
2017-01-07 10:00:00,167.68200000000004,75.2014,133.21200000000002,267.445
2017-01-07 11:00:00,160.58100000000005,106.533,172.05900000000003,293.694
2017-01-07 12:00:00,93.7513,86.3726,178.94099999999997,310.996
2017-01-07 13:00:00,75.2014,88.2602,226.141,323.213
2017-01-07 14:00:00,106.533,116.064,267.445,258.949
2017-01-07 15:00:00,86.3726,133.21200000000002,293.694,248.044
2017-01-07 16:00:00,88.2602,172.05900000000003,310.996,232.178
2017-01-07 17:00:00,116.064,178.94099999999997,323.213,229.286
2017-01-07 18:00:00,133.21200000000002,226.141,258.949,212.368
2017-01-07 19:00:00,172.05900000000003,267.445,248.044,203.38
2017-01-07 20:00:00,178.94099999999997,293.694,232.178,179.25
2017-01-07 21:00:00,226.141,310.996,229.286,197.814
2017-01-07 22:00:00,267.445,323.213,212.368,204.368
2017-01-07 23:00:00,293.694,258.949,203.38,220.55
2017-01-08 00:00:00,310.996,248.044,179.25,255.478
2017-01-08 01:00:00,323.213,232.178,197.814,190.706
2017-01-08 02:00:00,258.949,229.286,204.368,125.774
2017-01-08 03:00:00,248.044,212.368,220.55,111.97
2017-01-08 04:00:00,232.178,203.38,255.478,129.941
2017-01-08 05:00:00,229.286,179.25,190.706,162.405
2017-01-08 06:00:00,212.368,197.814,125.774,210.18400000000003
2017-01-08 07:00:00,203.38,204.368,111.97,265.596
2017-01-08 08:00:00,179.25,220.55,129.941,283.033
2017-01-08 09:00:00,197.814,255.478,162.405,242.412
2017-01-08 10:00:00,204.368,190.706,210.18400000000003,288.995
2017-01-08 11:00:00,220.55,125.774,265.596,317.29
2017-01-08 12:00:00,255.478,111.97,283.033,284.938
2017-01-08 13:00:00,190.706,129.941,242.412,201.25
2017-01-08 14:00:00,125.774,162.405,288.995,195.581
2017-01-08 15:00:00,111.97,210.18400000000003,317.29,182.961
2017-01-08 16:00:00,129.941,265.596,284.938,184.08
