timestamp,MpKrakAlKras-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-04 14:00:00,12.9523,15.019,15.8441,20.0727
2017-01-04 15:00:00,13.9616,17.3008,14.1411,8.3265
2017-01-04 16:00:00,14.4036,16.9126,14.1259,9.54272
2017-01-04 17:00:00,15.019,16.2922,14.5201,9.95114
2017-01-04 18:00:00,17.3008,14.3748,20.0727,13.6251
2017-01-04 19:00:00,16.9126,15.8441,8.3265,14.6611
2017-01-04 20:00:00,16.2922,14.1411,9.54272,20.8625
2017-01-04 21:00:00,14.3748,14.1259,9.95114,20.8079
2017-01-04 22:00:00,15.8441,14.5201,13.6251,21.1246
2017-01-04 23:00:00,14.1411,20.0727,14.6611,21.4876
2017-01-05 00:00:00,14.1259,8.3265,20.8625,20.6039
2017-01-05 01:00:00,14.5201,9.54272,20.8079,19.3487
2017-01-05 02:00:00,20.0727,9.95114,21.1246,20.427
2017-01-05 03:00:00,8.3265,13.6251,21.4876,32.0446
2017-01-05 04:00:00,9.54272,14.6611,20.6039,24.3086
2017-01-05 05:00:00,9.95114,20.8625,19.3487,28.0612
2017-01-05 06:00:00,13.6251,20.8079,20.427,30.9685
2017-01-05 07:00:00,14.6611,21.1246,32.0446,24.9333
2017-01-05 08:00:00,20.8625,21.4876,24.3086,33.3291
2017-01-05 09:00:00,20.8079,20.6039,28.0612,49.2241
2017-01-05 10:00:00,21.1246,19.3487,30.9685,47.4904
2017-01-05 11:00:00,21.4876,20.427,24.9333,69.2727
2017-01-05 12:00:00,20.6039,32.0446,33.3291,76.132
2017-01-05 13:00:00,19.3487,24.3086,49.2241,38.054
2017-01-05 14:00:00,20.427,28.0612,47.4904,39.3219
2017-01-05 15:00:00,32.0446,30.9685,69.2727,31.1263
2017-01-05 16:00:00,24.3086,24.9333,76.132,35.8722
2017-01-05 17:00:00,28.0612,33.3291,38.054,53.4165
2017-01-05 18:00:00,30.9685,49.2241,39.3219,72.835
2017-01-05 19:00:00,24.9333,47.4904,31.1263,65.8092
2017-01-05 20:00:00,33.3291,69.2727,35.8722,77.9317
2017-01-05 21:00:00,49.2241,76.132,53.4165,86.4031
2017-01-05 22:00:00,47.4904,38.054,72.835,87.0765
2017-01-05 23:00:00,69.2727,39.3219,65.8092,74.4786
2017-01-06 00:00:00,76.132,31.1263,77.9317,90.244
2017-01-06 01:00:00,38.054,35.8722,86.4031,48.3641
2017-01-06 02:00:00,39.3219,53.4165,87.0765,101.187
2017-01-06 03:00:00,31.1263,72.835,74.4786,113.368
2017-01-06 04:00:00,35.8722,65.8092,90.244,88.1692
2017-01-06 05:00:00,53.4165,77.9317,48.3641,96.4075
2017-01-06 06:00:00,72.835,86.4031,101.187,82.8401
2017-01-06 07:00:00,65.8092,87.0765,113.368,103.606
2017-01-06 08:00:00,77.9317,74.4786,88.1692,78.3202
2017-01-06 09:00:00,86.4031,90.244,96.4075,59.6182
2017-01-06 10:00:00,87.0765,48.3641,82.8401,73.2886
2017-01-06 11:00:00,74.4786,101.187,103.606,94.0086
2017-01-06 12:00:00,90.244,113.368,78.3202,88.9167
2017-01-06 13:00:00,48.3641,88.1692,59.6182,136.035
2017-01-06 14:00:00,101.187,96.4075,73.2886,138.265
2017-01-06 15:00:00,113.368,82.8401,94.0086,173.238
2017-01-06 16:00:00,88.1692,103.606,88.9167,169.81599999999997
2017-01-06 17:00:00,96.4075,78.3202,136.035,175.273
2017-01-06 18:00:00,82.8401,59.6182,138.265,181.69
2017-01-06 19:00:00,103.606,73.2886,173.238,154.046
2017-01-06 20:00:00,78.3202,94.0086,169.81599999999997,162.697
2017-01-06 21:00:00,59.6182,88.9167,175.273,182.575
2017-01-06 22:00:00,73.2886,136.035,181.69,201.283
2017-01-06 23:00:00,94.0086,138.265,154.046,134.466
2017-01-07 00:00:00,88.9167,173.238,162.697,110.393
2017-01-07 01:00:00,136.035,169.81599999999997,182.575,121.683
2017-01-07 02:00:00,138.265,175.273,201.283,117.582
2017-01-07 03:00:00,173.238,181.69,134.466,108.425
2017-01-07 04:00:00,169.81599999999997,154.046,110.393,118.407
2017-01-07 05:00:00,175.273,162.697,121.683,122.466
2017-01-07 06:00:00,181.69,182.575,117.582,132.957
2017-01-07 07:00:00,154.046,201.283,108.425,147.561
2017-01-07 08:00:00,162.697,134.466,118.407,160.885
2017-01-07 09:00:00,182.575,110.393,122.466,189.175
2017-01-07 10:00:00,201.283,121.683,132.957,224.583
2017-01-07 11:00:00,134.466,117.582,147.561,257.338
2017-01-07 12:00:00,110.393,108.425,160.885,268.291
2017-01-07 13:00:00,121.683,118.407,189.175,309.801
2017-01-07 14:00:00,117.582,122.466,224.583,329.737
2017-01-07 15:00:00,108.425,132.957,257.338,327.912
2017-01-07 16:00:00,118.407,147.561,268.291,324.482
2017-01-07 17:00:00,122.466,160.885,309.801,337.036
2017-01-07 18:00:00,132.957,189.175,329.737,328.759
2017-01-07 19:00:00,147.561,224.583,327.912,286.846
2017-01-07 20:00:00,160.885,257.338,324.482,268.061
2017-01-07 21:00:00,189.175,268.291,337.036,259.193
2017-01-07 22:00:00,224.583,309.801,328.759,253.103
2017-01-07 23:00:00,257.338,329.737,286.846,222.718
2017-01-08 00:00:00,268.291,327.912,268.061,240.43
2017-01-08 01:00:00,309.801,324.482,259.193,199.241
2017-01-08 02:00:00,329.737,337.036,253.103,191.758
2017-01-08 03:00:00,327.912,328.759,222.718,174.96099999999996
2017-01-08 04:00:00,324.482,286.846,240.43,170.65599999999995
2017-01-08 05:00:00,337.036,268.061,199.241,166.35
2017-01-08 06:00:00,328.759,259.193,191.758,160.61
2017-01-08 07:00:00,286.846,253.103,174.96099999999996,149.109
2017-01-08 08:00:00,268.061,222.718,170.65599999999995,136.554
2017-01-08 09:00:00,259.193,240.43,166.35,140.891
2017-01-08 10:00:00,253.103,199.241,160.61,186.158
2017-01-08 11:00:00,222.718,191.758,149.109,230.616
2017-01-08 12:00:00,240.43,174.96099999999996,136.554,215.135
2017-01-08 13:00:00,199.241,170.65599999999995,140.891,223.073
2017-01-08 14:00:00,191.758,166.35,186.158,217.586
